user_id,post_id,post_content,likes,shares,post_date
1001,001,"Loving the new iPhone! #Apple #Tech https://apple.com",120,50,2024-02-20
1002,002,,95,30,2024-02-19
1003,003,"Check out my new sneakers! #Nike #style 👟",,75,2024-02-18
1004,004,"Can’t wait to travel again! ✈️ #wanderlust #travel",180,65,2024-02-17
1005,005,"What a disaster... didn’t work at all! 😞 #fail",50,20,2024-02-16
1001,006,"Coffee is life! ☕️ #coffeeaddict #morningvibes",140,60,2024-02-15
1002,007,"Finally got my hands on the latest gadget! #Tech",130,45,2024-02-14
1003,008,"Work hard, play harder! #MondayMotivation 💪",160,70,2024-02-13
1004,009,"Feeling great after my workout! 💪 #fitness #health",210,80,2024-02-12
1005,010,,45,10,2024-02-11
1006,011,"Had an amazing time at the concert last night! 🎶 #music",220,90,2024-02-10
1007,012,"Who else is excited for the weekend? 🙌 #TGIF",,65,2024-02-09
1008,013,"My cat is so cute! 😻 #cats #pets",200,85,2024-02-08
1009,014,"Finally watched the new movie! 🎬 #movienight",190,60,2024-02-07
1010,015,"Can’t believe how fast time flies! #life",160,55,2024-02-06
1001,016,"Just finished reading a great book! 📚 #bookworm",210,75,2024-02-05
1002,017,"Super excited for the new product launch tomorrow! #launch",230,95,2024-02-04
1003,018,"Spent the day hiking in the mountains! 🏞️ #nature #adventure",250,100,2024-02-03
1004,019,"Finally cleaned my room! 🧹 #organization #tidy",120,40,2024-02-02
1005,020,"Learning something new today! #education #growth",180,60,2024-02-01
1006,021,"Big fan of this new podcast! 🎧 #podcastlover",150,55,2024-01-31
1007,022,"Just finished a 10k run! 🏃 #fitnessgoals",220,90,2024-01-30
1008,023,"Feeling grateful for my friends! #friendship",180,65,2024-01-29
1009,024,"Best pizza ever! 🍕 #pizzalover",200,70,2024-01-28
1010,025,"Can’t believe I got tickets for the game! 🏀 #sportsfan",230,95,2024-01-27
1001,026,"This cake is delicious! 🍰 #baking",180,60,2024-01-26
1002,027,"The sunset was so beautiful tonight 🌅 #sunset",160,55,2024-01-25
1003,028,"Just finished a crazy workout! 🏋️‍♀️ #gymtime",210,80,2024-01-24
1004,029,"Excited for my upcoming vacation! 🌴 #vacationmode",220,85,2024-01-23
1005,030,"Gotta stop procrastinating! 😅 #motivation",150,40,2024-01-22
1006,031,"So much love for this band! 🎤 #musicfan",200,90,2024-01-21
